No,判定,締切,残日数,補助金_公募名,対象地域,従業員条件,上限額円,判定理由,理由区分,JグランツID,URL
336,×,2028-03-31 23:59,574.7,【新潟】令和８年度中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,新潟県,従業員数の制約なし,6000000,対象地域が新潟県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDduqMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDduqMAD
337,○,2028-03-31 23:59,574.7,【東京】令和８年度中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,東京都,従業員数の制約なし,6000000,基本属性と事業テーマが合致。公募要領の最終要件確認後に申請準備,候補,a0WJ200000CDduoMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDduoMAD
338,×,2028-03-31 23:59,574.7,【栃木】令和８年度中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,栃木県,従業員数の制約なし,6000000,対象地域が栃木県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDdukMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDdukMAD
339,×,2028-03-31 23:59,574.7,【沖縄】令和８年度中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,沖縄県,従業員数の制約なし,6000000,対象地域が沖縄県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDe6cMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDe6cMAD
340,×,2028-03-31 23:59,574.7,【滋賀】令和８年度中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,滋賀県,従業員数の制約なし,6000000,対象地域が滋賀県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDe6BMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDe6BMAT
341,×,2028-03-31 23:59,574.7,【熊本】令和８年度中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,熊本県,従業員数の制約なし,6000000,対象地域が熊本県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDe6YMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDe6YMAT
342,×,2028-03-31 23:59,574.7,【石川】令和８年度中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,石川県,従業員数の制約なし,6000000,対象地域が石川県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDdusMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDdusMAD
343,△,2028-03-31 23:59,574.7,【神奈川】令和８年度中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,神奈川県,従業員数の制約なし,6000000,神奈川県に関連施設はあるが、制度上の事業所要件を要確認,地域,a0WJ200000CDdupMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDdupMAD
344,×,2028-03-31 23:59,574.7,【福井】令和８年度中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,福井県,従業員数の制約なし,6000000,対象地域が福井県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDe64MAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDe64MAD
345,×,2028-03-31 23:59,574.7,【福岡】令和８年度中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,福岡県,従業員数の制約なし,6000000,対象地域が福岡県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDe6VMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDe6VMAT
346,×,2028-03-31 23:59,574.7,【福島】令和８年度中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,福島県,従業員数の制約なし,6000000,対象地域が福島県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDduiMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDduiMAD
347,×,2028-03-31 23:59,574.7,【秋田】令和８年度中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,秋田県,従業員数の制約なし,6000000,対象地域が秋田県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDdugMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDdugMAD
348,×,2028-03-31 23:59,574.7,【群馬】令和８年度中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,群馬県,従業員数の制約なし,6000000,対象地域が群馬県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDdulMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDdulMAD
349,×,2028-03-31 23:59,574.7,【茨城】令和８年度中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,茨城県,従業員数の制約なし,6000000,対象地域が茨城県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDdujMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDdujMAD
350,×,2028-03-31 23:59,574.7,【長崎】令和８年度中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,長崎県,従業員数の制約なし,6000000,対象地域が長崎県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDe6XMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDe6XMAT
351,×,2028-03-31 23:59,574.7,【長野】令和８年度中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,長野県,従業員数の制約なし,6000000,対象地域が長野県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDe66MAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDe66MAD
352,×,2028-03-31 23:59,574.7,【青森】令和８年度中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,青森県,従業員数の制約なし,6000000,対象地域が青森県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDdudMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDdudMAD
353,×,2028-03-31 23:59,574.7,【静岡】令和８年度中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,静岡県,従業員数の制約なし,6000000,対象地域が静岡県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDe68MAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDe68MAD
354,×,2028-03-31 23:59,574.7,【香川】令和８年度中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,香川県,従業員数の制約なし,6000000,対象地域が香川県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDe6SMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDe6SMAT
355,×,2028-03-31 23:59,574.7,【高知】令和８年度中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,高知県,従業員数の制約なし,6000000,対象地域が高知県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDe6UMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDe6UMAT
356,×,2028-03-31 23:59,574.7,【鳥取】令和８年度中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,鳥取県,従業員数の制約なし,6000000,対象地域が鳥取県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDe6HMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDe6HMAT
357,×,2028-03-31 23:59,574.7,【鹿児島】令和８年度中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,鹿児島県,従業員数の制約なし,6000000,対象地域が鹿児島県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDe6bMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDe6bMAD
358,○,2028-03-31 23:59,574.7,東京都中小企業障害者雇用スタート支援奨励金,東京都,従業員数の制約なし,1200000,基本属性と事業テーマが合致。公募要領の最終要件確認後に申請準備,候補,a0WJ200000CDOrTMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDOrTMAX
359,△,2028-05-07 23:59,611.7,事業再構築補助金（共同申請_リース会社）,全国,従業員数の制約なし,150000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0W5h00000UaiqSEAR,https://www.jgrants-portal.go.jp/subsidy/a0W5h00000UaiqSEAR
360,△,2028-09-01 23:59,728.7,令和6年度【2年目申請用】ES（社員満足度）向上による若手人材確保・定着事業助成金,東京都,300名以下,3000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ20000088TQ4MAM,https://www.jgrants-portal.go.jp/subsidy/a0WJ20000088TQ4MAM
361,△,2029-02-15 00:00,894.7,デジタル技術活用推進助成金に係る状況報告等について,東京都,従業員数の制約なし,0,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ2000008Av8bMAC,https://www.jgrants-portal.go.jp/subsidy/a0WJ2000008Av8bMAC
362,△,2029-03-31 23:59,939.7,100億宣言,全国,従業員数の制約なし,0,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDNhQMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDNhQMAX
363,×,2029-03-31 23:59,939.7,【長野県茅野市】消費喚起イベント事業補助金,長野県,100名以下,400000,対象地域が長野県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDY24MAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDY24MAH
364,△,2029-03-31 23:59,939.7,令和7年度【2年目申請用】ES（社員満足度）向上による若手人材確保・定着事業助成金,東京都,300名以下,3000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDUvzMAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDUvzMAH
365,△,2029-03-31 23:59,939.7,令和7年度【3年目申請用】ES（社員満足度）向上による若手人材確保・定着事業助成金,東京都,300名以下,3000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDVxKMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDVxKMAX
366,△,2029-03-31 23:59,939.7,令和8年度【2年目申請用】ES（社員満足度）向上による若手人材確保・定着事業助成金,東京都,300名以下,3000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDYkBMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYkBMAX
367,△,2029-03-31 23:59,939.7,令和8年度【3年目申請用】ES（社員満足度）向上による若手人材確保・定着事業助成金,東京都,300名以下,3000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDYk9MAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYk9MAH
368,○,2029-03-31 23:59,939.7,東京都中小企業障害者雇用支援助成金,東京都,300名以下,1980000,基本属性と事業テーマが合致。公募要領の最終要件確認後に申請準備,候補,a0W5h00000UbQnXEAV,https://www.jgrants-portal.go.jp/subsidy/a0W5h00000UbQnXEAV
369,×,2029-03-31 23:59,939.7,東広島市小児科新規開業支援事業補助金,広島県,従業員数の制約なし,10000000,対象地域が広島県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDYCsMAP,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYCsMAP
370,△,2029-12-31 23:59,1214.7,危機管理対策促進事業_事業完了後の各種申請,茨城県 / 栃木県 / 群馬県 / 埼玉県 / 千葉県 / 東京都 / 神奈川県 / 山梨県,従業員数の制約なし,15000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDRafMAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDRafMAH
371,△,2030-03-31 20:00,1304.5,申請練習用補助金【補助金の支払いはありません】,全国,従業員数の制約なし,10000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDJWIMA5,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDJWIMA5
372,×,2030-03-31 23:45,1304.7,いわき市診療所開設・承継支援補助金,全国,従業員数の制約なし,30000000,医療機関等向け,対象者,a0WJ200000CDXK4MAP,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDXK4MAP
373,△,2030-03-31 23:45,1304.7,東京都難病・がん患者就業支援奨励金,東京都,従業員数の制約なし,900000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0W5h00000UbQnSEAV,https://www.jgrants-portal.go.jp/subsidy/a0W5h00000UbQnSEAV
374,△,2030-05-31 00:00,1364.7,令和７年度救急搬送患者受入体制強化事業,東京都,従業員数の制約なし,0,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ2000000pejTMAQ,https://www.jgrants-portal.go.jp/subsidy/a0WJ2000000pejTMAQ
375,△,2030-11-15 00:00,1532.7,令和7年度　ES（社員満足度）向上による若手人材確保・定着事業助成金　１年目申請用,東京都,300名以下,3000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDNiaMAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDNiaMAH
376,△,2030-11-15 00:00,1532.7,令和8年度【1年目申請用】ES（社員満足度）向上による若手人材確保・定着事業助成金,東京都,300名以下,3000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDYkAMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYkAMAX
377,△,2031-01-21 23:59,1600.7,［第十回］事業再構築補助金（交付申請等）,全国,従業員数の制約なし,500000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0W5h00000GMgXBEA1,https://www.jgrants-portal.go.jp/subsidy/a0W5h00000GMgXBEA1
378,△,2031-06-12 23:59,1742.7,［第十一回］事業再構築補助金（交付申請等）,全国,従業員数の制約なし,150000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0W5h00000UbU66EAF,https://www.jgrants-portal.go.jp/subsidy/a0W5h00000UbU66EAF
379,△,2032-03-07 23:59,2011.7,［第十二回］事業再構築補助金（交付申請等）,全国,従業員数の制約なし,500000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ2000000qhOQMAY,https://www.jgrants-portal.go.jp/subsidy/a0WJ2000000qhOQMAY
380,△,2032-10-29 23:59,2247.7,［第十三回］事業再構築補助金_促進上乗せ措置（交付申請等）,全国,従業員数の制約なし,150000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDQEJMA5,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDQEJMA5
381,×,2042-05-07 00:00,5723.7,令和８年度東京都救命救急センター施設整備等補助事業（運営費）,東京都,従業員数の制約なし,0,医療機関等向け,対象者,a0WJ200000CDeTtMAL,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDeTtMAL
382,△,2124-03-31 17:30,35637.4,東京都環境保全資金融資保証債務履行補助金,東京都,従業員数の制約なし,2798000,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0W2x000007CrSAEA0,https://www.jgrants-portal.go.jp/subsidy/a0W2x000007CrSAEA0
